Reporter_family,REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY
Tedor Pharma,RT0307137,MANUFACTURER,TEDOR PHARMA,,400 HIGHLAND CORPORATE DRIVE,,CUMBERLAND,RI,2864,PROVIDENCE
TYA Pharmaceuticals,RT0314017,MANUFACTURER,TYA PHARMACEUTICALS,,2930 CRESCENT DRIVE,,TALLAHASSEE,FL,32301,LEON
Trimed Medical Wholesaler Inc,RT0324777,DISTRIBUTOR,TRIMED_MEDICAL WHOLESALER INC,,52 E SANTA ANITA AVE,,BURBANK,CA,91502,LOS ANGELES
"Taylor Creek Pharmacal, Inc.",RT0346456,DISTRIBUTOR,"TAYLOR CREEK PHARMACAL, INC.",,447 CR 303,P.O. BOX 90,TAYLOR,MS,38673,LAFAYETTE
The PF Laboratories Inc,RT0370041,DISTRIBUTOR,THE PF LABORATORIES INC,,700 UNION BLVD,,TOTOWA,NJ,7512,PASSAIC
"The Rx Exchange, Inc.",RT0370762,REVERSE DISTRIB,"THE RX EXCHANGE, INC.",,100 GALLERIA PKWY,SUITE 995,ATLANTA,GA,30339,FULTON
Teva Pharmaceuticals USA,RT0386828,DISTRIBUTOR,TEVA PHARMACEUTICALS USA INC,,111 NEW BRITAIN BLVD,,CHALFONT,PA,18914,BUCKS
"Trump Wholesale Pharmaceutical, Inc",RT0393746,DISTRIBUTOR,"TRUMP WHOLESALE PHARMACEUTICAL, INC",,7238 NW 70 STREET,,MIAMI,FL,33166,MIAMI-DADE
Tapemark Company,RT0404424,MANUFACTURER,TAPEMARK COMPANY,,1685 MARTHALER LANE,,WEST SAINT PAUL,MN,55118,DAKOTA
Tagi Pharma Inc.,RT0405995,DISTRIBUTOR,TAGI PHARMA INC.,,722 PROGRESSIVE LANE,,SOUTH BELOIT,IL,61080,WINNEBAGO
"Trigen Laboratories, LLC",RT0409664,DISTRIBUTOR,"TRIGEN LABORATORIES, LLC",,2631 CAUSEWAY CENTER DRIVE,,TAMPA,FL,33619,HILLSBOROUGH
The Coghlan Group Inc,RT0415251,MANUFACTURER,"THE COGHLAN GROUP, INC.",,1500-B BUSINESS PARK DRIVE,,BASTROP,TX,78602,BASTROP
"Tri-Point Rx, LLC",RT0418194,MANUFACTURER,"TRI-POINT RX, LLC",,3231 VETERAN'S CIRCLE,SUITE 115,BIRMINGHAM,AL,35235,JEFFERSON
Thrifty White Warehouse,RT0424820,DISTRIBUTOR,THRIFTY WHITE WAREHOUSE #899,,6055 NATHAN LANE N,SUITE 200B,PLYMOUTH,MN,55442,HENNEPIN
Trans Alliance Med & Drugs,RT0449492,DISTRIBUTOR,TRANS ALLIANCE MED & DRUGS,,2650 HOLCOMB BRIDGE ROAD,SUITE 540,ALPHARETTA,GA,30022,FULTON
The Harvard Drug Group,RT0457780,DISTRIBUTOR,"THE HARVARD DRUG GROUP, LLC",EXPERT MED/FIRST VETERINARY SUPPLY,5960 E. SHELBY DRIVE,,MEMPHIS,TN,38141,SHELBY
Universal Marine Med Supply,RU0147404,DISTRIBUTOR,UNIVERSAL MARINE MED SUPPLY,,5824 12TH AVE,,BROOKLYN,NY,11219,KINGS
Unitor Ships Service,RU0149535,DISTRIBUTOR,UNITOR SHIPS SERVICE,,8030 N.W. 77TH COURT,,MEDLEY,FL,33166,MIAMI-DADE
Unigen Pharmaceuticals,RU0232431,MANUFACTURER,UNIGEN PHARMACEUTICALS,,1221 TECH COURT,,WESTMINSTER,MD,21157,CARROLL
Upsher-Smith Laboratories LLC,RU0247343,DISTRIBUTOR,UPSHER-SMITH LABORATORIES LLC,,6701 EVENSTAD DRIVE,,MAPLE GROVE,MN,55369,HENNEPIN
United Research Laboratories,RU0263688,DISTRIBUTOR,UNITED RESEARCH LABORATORIES,,1100 ORTHODOX STREET,,PHILADELPHIA,PA,19124,PHILADELPHIA
UPS Supply Chain,RU0264945,DISTRIBUTOR,UPS SUPPLY CHAIN,"SOLUTIONS, INC.",13501 INDEPENDENCE PARKWAY,SUITE 200,FT WORTH,TX,76177,TARRANT
USL Pharma LLC,RU0277283,MANUFACTURER,USL PHARMA LLC,,DBA: UPSHER-SMITH LABORATORIES,301 S. CHEROKEE STREET,DENVER,CO,80223,DENVER
"UPM Pharmaceuticals, Inc.",RU0307858,MANUFACTURER,"UPM PHARMACEUTICALS, INC.",,6200 SEAFORTH STREET,,BALTIMORE,MD,21224,BALTIMORE CITY
"US Oncology Specialty, LP",RU0326240,DISTRIBUTOR,"US ONCOLOGY SPECIALTY,  LP",,13501  PARK  VISTA  BLVD,SUITE 100,FT WORTH,TX,76177,TARRANT
UW Health Pharmacy Services,RU0331037,DISTRIBUTOR,UW HEALTH PHARMACY SERVICES,,3185 DEMING WAY RM 148,,MIDDLETON,WI,53562,DANE
UW Health Pharmacy Services,RU0331037,DISTRIBUTOR,UW HEALTH PHARMACY SERVICES,,1 S PARK STREET,,MADISON,WI,53715,DANE
United Research Laboratories,RU0336506,DISTRIBUTOR,UNITED RESEARCH LABORATORIES,,7722 DUNGAN ROAD,,PHILADELPHIA,PA,19111,PHILADELPHIA
,RU0336835,REVERSE DISTRIB,"STERICYCLE, INC.",,2084-900 LAKE INDUSTRIAL COURT,,CONYERS,GA,30013,ROCKDALE
UPS Supply Chain,RU0337887,DISTRIBUTOR,UPS SUPPLY CHAIN SOLUTIONS INC,,1920 OUTER LOOP ROAD,,LOUISVILLE,KY,40219,JEFFERSON
"Unit Dose Solutions, Inc.",RU0339956,MANUFACTURER,"UNIT DOSE SOLUTIONS, INC.",,860 AVIATION PARKWAY STE. 400 A,SUITE 400A,MORRISVILLE,NC,27560,WAKE
"US Compounding, Inc",RU0340492,MANUFACTURER,"US COMPOUNDING, INC",ATTN: BECCA MITCHELL,1270 DON'S LANE,,CONWAY,AR,72032,FAULKNER
UPS Supply Chain,RU0346088,DISTRIBUTOR,"U P S SUPPLY CHAIN SOLUTION INC,",,1860 OUTER LOOP ROAD,,LOUISVILLE,KY,40219,JEFFERSON
Unique Pharmaceuticals,RU0357409,MANUFACTURER,UNIQUE PHARMACEUTICALS,,5920 S. GENERAL BRUCE DR.,,TEMPLE,TX,76502,BELL
"UPM Pharmaceuticals, Inc.",RU0362640,DISTRIBUTOR,"UPM PHARMACEUTICALS, INC.",,6200 SEAFORTH STREET,,BALTIMORE,MD,21224,BALTIMORE CITY
"Unit Dose Services, LLC",RU0400729,MANUFACTURER,"UNIT DOSE SERVICES, LLC","UNIT DOSE SERVICES, LLC",317-321 NORTH BRYAN ROAD,,DANIA BEACH,FL,33004,BROWARD
Universal Marine Med Supply,RU0445874,DISTRIBUTOR,UNIVERSAL MARINE MEDICAL SUPPLY INTERNATIONAL LLC,,27 SYLVATON TERRACE,,STATEN ISLAND,NY,10305,RICHMOND
"UPM Pharmaceuticals, Inc.",RU0450786,MANUFACTURER,"UPM PHARMACEUTICALS, INC.",,501 FIFTH STREET,,BRISTOL,TN,37620,SULLIVAN
Unither Manufacturing LLC,RU0451132,MANUFACTURER,UNITHER MANUFACTURING LLC,,331 CLAY ROAD,,ROCHESTER,NY,14623,MONROE
UTSW Medical Center,RU0456409,DISTRIBUTOR,UTSW MEDICAL CENTER,,"5323 HARRY HINES BLVD., BLDG K1.208",,DALLAS,TX,75390,DALLAS
Vintage Pharmaceuticals,RV0172976,MANUFACTURER,VINTAGE PHARMACEUTICALS INC,,3241 WOODPARK BLVD,,CHARLOTTE,NC,28206,MECKLENBURG
Vintage Pharmaceuticals,RV0216172,MANUFACTURER,VINTAGE PHARMACEUTICALS,,120 VINTAGE DR,,HUNTSVILLE,AL,35811,MADISON
Vedco,RV0240589,DISTRIBUTOR,VEDCO,,5503 CORPORATE DRIVE,,SAINT JOSEPH,MO,64507,BUCHANAN
Vintage Pharmaceuticals,RV0271281,MANUFACTURER,VINTAGE PHARMACEUTICALS,,150 VINTAGE DRIVE,,HUNTSVILLE,AL,35811,MADISON
VistaPharm Inc,RV0279009,MANUFACTURER,VISTA PHARM INC,,7265 ULMERTON RD,,LARGO,FL,33771,PINELLAS
VistaPharm Inc,RV0279035,DISTRIBUTOR,VISTAPHARM INC,,7265 ULMERTON RD,,LARGO,FL,33771,PINELLAS
Valley Drug Company South,RV0279477,DISTRIBUTOR,VALLEY DRUG COMPANY SOUTH,,10016 RIVER RD,,ST ROSE,LA,70087,SAINT CHARLES
"AmeriDrugs, Inc.",RV0300765,DISTRIBUTOR,"AMERIDRUGS, INC.",,25074 W. 6 MILE ROAD,,REDFORD,MI,48240,WAYNE
,RV0302389,REVERSE DISTRIB,"VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.","VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.",W124 N9451 BOUNDARY ROAD,,MENOMONEE FALLS,WI,53051,WAUKESHA
,RV0304092,MANUF (BULK),VARIAN,,25200 COMMERCENTRE DRIVE,,LAKE FOREST,CA,92630,ORANGE
Vertical Source Pharma Inc,RV0304802,DISTRIBUTOR,VERTICAL SOURCE PHARMA INC,,10482 NW 31 TERRACE,,MIAMI,FL,33172,MIAMI-DADE
"Vetessa Pharmaceutical, Inc",RV0315956,DISTRIBUTOR,"VETESSA PHARMACEUTICAL, INC",,10460 NW 37TH TERRACE,,DORAL,FL,33178,MIAMI-DADE
Valeant Puerto Rico LLC,RV0321175,MANUFACTURER,VALEANT PUERTO RICO LLC,,BO. MARIANA RD 909 KM 1.1.,HC-01 BOX 16625,HUMACAO,PR,791,HUMACAO
"Vindex Pharmaceuticals, Inc.",RV0326985,DISTRIBUTOR,"VINDEX PHARMACEUTICALS, INC.",,1710 SHELBY OAKS DRIVE,SUITE 1,MEMPHIS,TN,38134,SHELBY
Vertical Pharmaceuticals,RV0337786,DISTRIBUTOR,"VERTICAL PHARMACEUTICALS, INC.","VERTICAL PHARMACEUTICALS, LLC",2400 MAIN STREET EXTENSION,SUITE 6,SAYREVILLE,NJ,8872,MIDDLESEX
"Vet Pharm, Inc.",RV0357675,DISTRIBUTOR,"VET PHARM, INC.",,392 15TH ST NE,,SIOUX CENTER,IA,51250,SIOUX
Vintage Pharmaceuticals,RV0359275,MANUFACTURER,"VINTAGE PHARMACEUTICALS, LLC",D/B/A PAR PHARMACEUTICAL,120 VINTAGE DRIVE,,HUNTSVILLE,AL,35811,MADISON
Vintage Pharmaceuticals,RV0359299,MANUFACTURER,"VINTAGE PHARMACEUTICALS, LLC",D/B/A  PAR PHARMACEUTICAL,150 VINTAGE DRIVE,,HUNTSVILLE,AL,35811,MADISON
VistaPharm Inc,RV0422220,DISTRIBUTOR,VISTAPHARM INC,,13701 66TH STREET NORTH,,LARGO,FL,33771,PINELLAS
Valley Wholesale Drug Co,RV0436596,DISTRIBUTOR,"VALLEY WHOLESALE DRUG CO, INC.",,1401 WEST FREMONT STREET,,STOCKTON,CA,95203,SAN JOAQUIN
Value Drug Co,RV0464646,DISTRIBUTOR,VALUE DRUG COMPANY,,195 THEATER DRIVE,,DUNCANSVILLE,PA,16635,BLAIR
Valley Wholesale Drug Co,RV0478431,DISTRIBUTOR,"VALLEY WHOLESALE DRUG CO., LLC",,1401 WEST FREMONT STREET,,STOCKTON,CA,95203,SAN JOAQUIN
Watson Laboratories Inc,RW0117261,MANUFACTURER,WATSON LABORATORIES INC,,132 A BUSINESS CENTER DR,,CORONA,CA,92880,RIVERSIDE
Wildlife Laboratories Inc,RW0127957,DISTRIBUTOR,WILDLIFE LABORATORIES INC,WILDLIFE PHARMACEUTICALS INC,"1230 WEST ASH, SUITE D",,WINDSOR,CO,80550,WELD
Wal-Mart,RW0133479,DISTRIBUTOR,WAL-MART PHARMACY WAREHOUSE,,4501 WAL-MART WAY,,TIFTON,GA,31794,TIFT
Meda Pharmaceuticals Inc,RW0143711,DISTRIBUTOR,MEDA PHARMACEUTICALS INC,,705 E. ELDORADO STREET,,DECATUR,IL,62523,MACON
Walgreen Co,RW0152467,DISTRIBUTOR,WALGREEN CO,,DBA WALGREENS,5100 LAKE TERRACE NE,MOUNT VERNON,IL,62864,JEFFERSON
Walgreen Co,RW0161872,DISTRIBUTOR,WALGREEN EASTERN CO INC,,DBA WALGREENS WAREHOUSE,125 N COMMERCE WAY,BETHLEHEM,PA,18017,NORTHAMPTON
Wal-Mart,RW0165731,DISTRIBUTOR,WAL-MART PHARMACY WAREHOUSE,,#28,801 COR-DA BOULEVARD,CRAWFORDSVILLE,IN,47933,MONTGOMERY
West-Ward Pharmaceutical Corp.,RW0166707,MANUFACTURER,WEST-WARD PHARMACEUTICAL CORP,,465 INDUSTRIAL WAY WEST,,EATONTOWN,NJ,7724,MONMOUTH
Wal-Mart,RW0186278,DISTRIBUTOR,WAL-MART WAREHOUSE #32,,13231 11TH AVENUE,,HANFORD,CA,93230,KINGS
Cardinal Health,RW0191407,DISTRIBUTOR,CARDINAL HEALTH,,7052 GRAND BLVD SUITE 112,,HOUSTON,TX,77054,HARRIS
Cardinal Health,RW0191419,DISTRIBUTOR,CARDINAL HEALTH,,955 WEST 3100 SOUTH,,SOUTH SALT LAKE CITY,UT,84119,SALT LAKE
Cardinal Health,RW0191813,DISTRIBUTOR,CARDINAL HEALTH,,"801 C STREET NW, SUITE B",,AUBURN,WA,98001,KING
Cardinal Health,RW0191926,DISTRIBUTOR,CARDINAL HEALTH,,7601 N.E. GARDNER AVENUE,,KANSAS CITY,MO,64120,JACKSON
Wal-Mart,RW0199908,DISTRIBUTOR,WAL-MART PHCY WAREHOUSE #46,,11121 ELLIOT PLACE,,WILLIAMSPORT,MD,21795,WASHINGTON
Wal-Mart,RW0199908,DISTRIBUTOR,WAL-MART PHCY WAREHOUSE #46,#46,11121 ELLIOT PLACE,,WILLIAMSPORT,MD,21795,WASHINGTON
Walgreen Co,RW0204026,DISTRIBUTOR,WALGREEN CO,,DBA: WALGREEN WAREHOUSE,2370 E MAIN STREET,WOODLAND,CA,95776,YOLO
Wholesalers Group Inc,RW0207717,DISTRIBUTOR,WHOLESALERS GROUP INC,DROGUERIA BAYAMON,EL COMANDANTE INDUSTRIAL PARK,917 CALLE TRINITY,CAROLINA,PR,982,CAROLINA
Cardinal Health,RW0216449,DISTRIBUTOR,CARDINAL HEALTH,,27680 AVENUE MENTRY,,VALENCIA,CA,91355,LOS ANGELES
DVM Resources,RW0225640,DISTRIBUTOR,DVM RESOURCES,A WALCO INTERNATIONAL INC CO,7100 W RENO,PO BOX 270358,OKLAHOMA CITY,OK,73137,OKLAHOMA
Dohmen Distribution Partners,RW0231883,DISTRIBUTOR,DOHMEN DISTRIBUTION PARTNERS,,"SOUTHEAST, L L C",3950 VALLEY E. INDUSTRIAL BLVD,BIRMINGHAM,AL,35217,JEFFERSON
Cardinal Health,RW0231908,DISTRIBUTOR,CARDINAL HEALTH,,2353 PROSPECT DR,,AURORA,IL,60502,DUPAGE
Cardinal Health,RW0234928,DISTRIBUTOR,CARDINAL HEALTH,,7301 LOS VOLCANES RD NW,,ALBUQUERQUE,NM,87121,BERNALILLO
Cardinal Health,RW0236009,DISTRIBUTOR,CARDINAL HEALTH,,3238 DWIGHT RD,,ELK GROVE,CA,95758,SACRAMENTO
"Actavis Pharma, Inc.",RW0237900,DISTRIBUTOR,"ACTAVIS PHARMA, INC.",,605 TRI-STATE PARKWAY,,GURNEE,IL,60031,LAKE
Cardinal Health,RW0243725,DISTRIBUTOR,CARDINAL HEALTH,,2901 ENLOE ST,,HUDSON,WI,54016,SAINT CROIX
Cardinal Health,RW0243903,DISTRIBUTOR,CARDINAL HEALTH,,4 CARDINAL HEALTH CT.,,GREENSBORO,NC,27407,GUILFORD
Walsh Distribution LLC,RW0252750,DISTRIBUTOR,WALSH DISTRIBUTION LLC,DBA WALSH SOUTHWEST,4940 EISENHAUER RD,SUITE 201,SAN ANTONIO,TX,78218,BEXAR
"Actavis Pharma, Inc.",RW0259893,MANUFACTURER,"ACTAVIS LABORATORIES UT, INC.",,575/577/579 CHIPETA WAY,,SALT LAKE CITY,UT,84108,SALT LAKE
Cardinal Health,RW0263056,DISTRIBUTOR,CARDINAL HEALTH,,600 N 83RD AVE,,TOLLESON,AZ,85353,MARICOPA
Cardinal Health,RW0263549,DISTRIBUTOR,CARDINAL HEALTH,,4875 FLORENCE STREET,,DENVER,CO,80238,DENVER
Cardinal Health,RW0269654,DISTRIBUTOR,CARDINAL HEALTH,,1120 COMMERCE BLVD,,SWEDESBORO,NJ,8085,GLOUCESTER
Patterson Veterinary Supply Inc,RW0276813,DISTRIBUTOR,"PATTERSON VETERINARY SUPPLY, INC.",,137 BARNUM ROAD,,DEVENS,MA,1434,MIDDLESEX
Walgreen Co,RW0277752,DISTRIBUTOR,WALGREEN CO,,15998 WALGREENS DRIVE,,JUPITER,FL,33478,PALM BEACH
Cardinal Health,RW0279996,DISTRIBUTOR,CARDINAL HEALTH,,851 HENRIETTA CREEK ROAD,,ROANOKE,TX,76262,DENTON
Walgreen Co,RW0281953,DISTRIBUTOR,WALGREEN CO,,710 OVILLA ROAD,,WAXAHACHIE,TX,75167,ELLIS
Wal-Mart,RW0282145,DISTRIBUTOR,WAL-MART PHARMACY WHSE #45,,2250 NORTH 8TH STREET,SUITE 102-A,ROGERS,AR,72756,BENTON
Cardinal Health,RW0283452,DISTRIBUTOR,CARDINAL HEALTH,,2840 ELM POINT INDUSTRIAL DR.,,ST CHARLES,MO,63301,SAINT CHARLES
Cardinal Health,RW0286333,DISTRIBUTOR,"CARDINAL HEALTH, INC.",,10 KINGBROOK PARKWAY,,SIMPSONVILLE,KY,40067,SHELBY
"Actavis Pharma, Inc.",RW0288921,DISTRIBUTOR,"ACTAVIS PHARMA, INC.",,2455 WARDLOW ROAD,,CORONA,CA,92880,RIVERSIDE
Watson Laboratories Inc,RW0288933,MANUFACTURER,WATSON LABORATORIES INC,,2455 WARDLOW ROAD,,CORONA,CA,92880,RIVERSIDE
"Actavis Pharma, Inc.",RW0289959,DISTRIBUTOR,"ACTAVIS LABORATORIES UT, INC.",,575/577/579 CHIPETA WAY,,SALT LAKE CITY,UT,84108,SALT LAKE
Walgreen Co,RW0294493,DISTRIBUTOR,WALGREEN CO,,28727 OREGON ROAD,ATTN: C II MANAGER,PERRYSBURG,OH,43551,WOOD
Wraser Pharmaceuticals,RW0302442,DISTRIBUTOR,WRASER PHARMACEUTICALS,,121 MARKETRIDGE DRIVE,,RIDGELAND,MS,39157,MADISON
Walgreen Co,RW0308216,DISTRIBUTOR,WALGREEN CO,,DBA: WALGREENS,17500 PERRIS BLVD,MORENO VALLEY,CA,92551,RIVERSIDE
Webster Veterinary Supply Inc,RW0313356,DISTRIBUTOR,WEBSTER VETERINARY SUPPLY INC,,6419 SOUTH 228TH STREET,SUITE 101,KENT,WA,98032,KING
"Vetessa Pharmaceutical, Inc",RW0315956,DISTRIBUTOR,"VETESSA PHARMACEUTICAL, INC",,10460 NW 37TH TERRACE,,DORAL,FL,33178,MIAMI-DADE
Willow Birch Pharma,RW0322901,DISTRIBUTOR,WILLOW BIRCH PHARMA,,P.O. BOX 240,433 OLD TAYLOR ROAD,TAYLOR,MS,38673,LAFAYETTE
Walgreen Co,RW0340757,REVERSE DISTRIB,WALGREEN CO.,,DBA:WALGREENS,6464 BLANCHARS CROSSING,WINDSOR,WI,53598,DANE
Walgreen Co,RW0347496,DISTRIBUTOR,WALGREEN CO.,,DBA: WALGREENS,101 ALLIANCE PARKWAY,WILLIAMSTON,SC,29697,ANDERSON
White Drug 61,RW0352346,DISTRIBUTOR,WHITE DRUG 61,,706 38TH STREET NW UNITS D-E-F,,FARGO,ND,58102,CASS
Wakefern Food Corporation,RW0356192,DISTRIBUTOR,WAKEFERN FOOD CORPORATION,,8301 INDUSTRIAL BOULEVARD,,BREINIGSVILLE,PA,18031,LEHIGH
Wall Medical Inc,RW0371221,DISTRIBUTOR,WALL MEDICAL INC,,4485 COMMERCE DRIVE,SUITE 106,BUFORD,GA,30518,GWINNETT
Walgreen Co,RW0376170,DISTRIBUTOR,"WALGREEN EASTERN CO., INC.",,80 INTERNATIONAL DR.,,WINDSOR,CT,6095,HARTFORD
West International Medical Supplies LLC,RW0382161,DISTRIBUTOR,WEST INTERNATIONAL MEDICAL SUPPLIES LLC,MEDSUPPLY INTERNATIONAL,"4360 OAKES ROAD, SUITE 613",,DAVIE,FL,33314,BROWARD
Windy Hill Distribution,RW0387313,DISTRIBUTOR,WINDY HILL DISTRIBUTION,,2540 WINDY HILL ROAD,ATTN PHARMACY,MARIETTA,GA,30067,COBB
Winn Dixie Logistics,RW0395221,DISTRIBUTOR,"WINN DIXIE LOGISTICS, INC.",WINN DIXIE PHARMACY WAREHOUSE #9002,"5050 EDGEWOOD COURT, UNIT 1",,JACKSONVILLE,FL,32254,DUVAL
Patterson Veterinary Supply Inc,RW0397629,DISTRIBUTOR,PATTERSON VETERINARY SUPPLY INC,,2025 SOUTH HIGH STREET,,COLUMBUS,OH,43207,FRANKLIN
West-Ward Pharmaceutical Corp.,RW0415299,DISTRIBUTOR,WEST-WARD PHARMACEUTICAL CORP.,,4750 PLEASANT HILL ROAD,,MEMPHIS,TN,38118,SHELBY
West-Ward Pharmaceutical Corp.,RW0415643,MANUFACTURER,WEST-WARD PHARMACEUTICALS CORP.,,2 ESTERBROOK LANE,,CHERRY HILL,NJ,8003,CAMDEN
Wholesale Rx,RW0424248,DISTRIBUTOR,"WHOLESALE RX, INC DBA",TYLER PHARMACEUTICALS,"7730-A TRINITY ROAD, STE 101",,CORDOVA,TN,38018,SHELBY
Whitney Labs,RW0428424,MANUFACTURER,"WHITNEY LABS, LP",D.B.A WHITNEY LAB/D.M.T.C.,1095 NORTH U.S. HWY. 1,UNITS 1-4,ORMOND BEACH,FL,32174,VOLUSIA
Wake County Dept. of Emergency Medical Services,RW0431356,DISTRIBUTOR,WAKE COUNTY DEPT. OF EMERGENCY MEDICAL SERVICES,WAKE COUNTY DEPT. OF EMERGENCY MEDICAL S,331 S. MCDOWELL ST,PUBLIC SAFETY CENTER,RALEIGH,NC,27601,WAKE
Winn Dixie Logistics,RW0432473,DISTRIBUTOR,"WINN DIXIE LOGISTICS, LLC",WINN DIXIE PHARMACY WAREHOUSE #9002,"5050 EDGEWOOD COURT, UNIT 1",,JACKSONVILLE,FL,32254,DUVAL
,RW0433653,REVERSE DISTRIB,"WOODFIELD DISTRIBUTION, LLC",,951 CLINT MOORE ROAD,SUITE A,BOCA RATON,FL,33487,PALM BEACH
Westside Medical Supply,RW0440139,DISTRIBUTOR,WESTSIDE MEDICAL SUPPLY,,2870 GESSNER ROAD,SUITE A-6,HOUSTON,TX,77080,HARRIS
Wes Pharma Inc,RW0447246,MANUFACTURER,WES PHARMA INC,,1221 TECH COURT,,WESTMINSTER,MD,21157,CARROLL
"Warner Chilcott Company, LLC",RW0456865,MANUFACTURER,"WARNER CHILCOTT COMPANY, LLC",,"CARR.2, KM. 45.7, BO. COTTO NORTE",,MANATI,PR,674,MANATI
,RZ0201638,MANUFACTURER,IVAX PHARMACEUTICALS NV,,140 LE GRAND AVENUE,,NORTHVALE,NJ,7647,BERGEN
"Pernix Therapeutics, LLC",RZ0286509,DISTRIBUTOR,"PERNIX THERAPEUTICS, LLC",,208 W. EASTBANK STREET,,GONZALES,LA,70737,ASCENSION
Wyeth Pharmaceuticals,PA0192295,MANUFACTURER,RICHMOND DIVISION OF WYETH,,2248-2300 DARBYTOWN ROAD,P.O. BOX 38578,HENRICO,VA,23231,HENRICO
,PA0237342,MANUFACTURER,WYETH PHARMACEUTICALS COMPANY,SUBSIDIARY OF PFIZER INC.,STATE ROAD #3 KILOMETER 142.1,CALL BOX 10012,GUAYAMA,PR,785,GUAYAMA
Banyan International Corp,PE0095100,DISTRIBUTOR,BANYAN INTERNATIONAL CORP,,2118 E INTERSTATE 20,,ABILENE,TX,79601,TAYLOR
Forest Pharmaceuticals,PO0237607,MANUFACTURER,FOREST PHARMACEUTICALS INC,A SUBSIDIARY OF FOREST LABORAT,3941 BROTHERTON RD,,CINCINNATI,OH,45209,HAMILTON
Palm Beach County,PP0082406,DISTRIBUTOR,PALM BEACH COUNTY,HEALTH CARE DISTRICT,PHARMACY DISTRIBUTION CENTER,"3800 S. CONGRESS AVE., STE 13",BOYNTON BEACH,FL,33426,PALM BEACH
Alaska Native Tribal Health,RA0107981,DISTRIBUTOR,ALASKA NATIVE TRIBAL HEALTH,,"CONSORTIUM, SUPPLY SERVICE CTR",6130 TUTTLE PLACE #2,ANCHORAGE,AK,99507,ANCHORAGE
,RA0301894,MANUF (BULK),ALDRICH CHEMICAL COMPANY INC,,DBA ISOTEC,3858 BENNER ROAD,MIAMISBURG,OH,45342,MONTGOMERY
,RA0341646,REVERSE DISTRIB,AMERICA INC. DBA PHARMACYCLE,,2140 SUNNYDALE BLVD,SUITE F,CLEARWATER,FL,34625,
Pharmax Inc.,RA0348828,DISTRIBUTOR,PHARMAX INC.,,83 N. SUMMIT STREET,,TENAFLY,NJ,7670,BERGEN
Abbvie US LLC,RA0442296,MANUFACTURER,ABBVIE INC.,,1401 SHERIDAN ROAD,"10TH STREET ENTRANCE, ATTN: D-807",NORTH CHICAGO,IL,60064,LAKE
Aurolife Pharma LLC,RA0450697,MANUFACTURER,AUROLIFE PHARMA LLC,,6 WHEELING RD,,DAYTON,NJ,8810,MIDDLESEX
Atascocita Vol Fire Dept,RA0471704,DISTRIBUTOR,ATASCOCITA VOL FIRE DEPT,HEAD QUARTERS,18425 TIMBER FOREST DR.,,HUMBLE,TX,77346,HARRIS
"Alere, Leader Operations",RB0156388,MANUFACTURER,"ALERE, LEADER OPERATIONS",,9965 SUMMERS RIDGE ROAD,BUILDING D-2076,SAN DIEGO,CA,92121,SAN DIEGO
CT International,RC0287448,DISTRIBUTOR,CT INTERNATIONAL,,4340 OLD SANTA FE ROAD,,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO
VA,RC0291043,DISTRIBUTOR,VA,,2600 REGENT BOULEVARD,P O BOX 612226,DFW AIRPORT,TX,75261,DALLAS
Metro Logics,RC0313178,DISTRIBUTOR,METRO LOGICS,,7629 GAMBRILLS COVE ROAD,,CURTIS BAY,MD,21226,ANNE ARUNDEL
Cardinal Health,RC0341153,DISTRIBUTOR,CARDINAL HEALTH,,3950 VALLEY EAST INDUSTRIAL DR,,BIRMINGHAM,AL,35217,JEFFERSON
Catalent Pharma Solutions,RC0382616,MANUFACTURER,"CATALENT PHARMA SOLUTIONS, INC.",,3001 RED LION ROAD,,PHILADELPHIA,PA,19114,PHILADELPHIA
CIMA Labs Inc.,RC0402937,DISTRIBUTOR,CIMA LABS INC.,,10000 VALLEY VIEW RD,,EDEN PRAIRIE,MN,55344,HENNEPIN
,RC0402999,MANUFACTURER,CHEROKEE PHARMA LLC,,2031 ROUTE 130,UNIT B,MONMOUTH JUNCTION,NJ,8852,MIDDLESEX
"Dpt Lakewood, LLC",RD0281408,MANUFACTURER,"DPT LAKEWOOD, LLC",,1700 OAK STREET,,LAKEWOOD,NJ,8701,OCEAN
"Diversified Biologicals, Inc.",RD0451865,DISTRIBUTOR,"DIVERSIFIED BIOLOGICALS, INC.",PRESIDENT & CEO,4300 SW 73RD AVE.,SUITE 102,MIAMI,FL,33155,MIAMI-DADE
AAIPharma,RF0202755,MANUFACTURER,AAIPHARMA,ATTN: DEA COMPLIANCE OFFICE,FORMULATIONS DEVELOPMENT LAB,1206 NORTH 23RD STREET,WILMINGTON,NC,28405,NEW HANOVER
G&W NC Laboratories LLC,RG0468276,MANUFACTURER,G&W NC LABORATORIES LLC,,1877 KAWAI ROAD,,LINCOLNTON,NC,28092,LINCOLN
